ID,Название,Дата начала,Статус
1,Project 1,2023-06-11,Завершен
2,Project 2,2023-10-31,В процессе
3,Project 3,2023-06-25,В процессе
4,Project 4,2023-01-21,В процессе
5,Project 5,2023-01-05,В процессе
6,Project 6,2023-05-28,Завершен
7,Project 7,2023-05-23,Завершен
8,Project 8,2023-12-15,В процессе
9,Project 9,2023-11-12,Завершен
10,Project 10,2023-03-26,Завершен
11,Project 11,2023-08-04,В процессе
12,Project 12,2023-04-09,Завершен
13,Project 13,2023-06-02,В процессе
14,Project 14,2023-10-21,Завершен
15,Project 15,2023-01-02,Завершен
16,Project 16,2023-10-17,В процессе
17,Project 17,2023-08-23,В процессе
18,Project 18,2023-09-26,В процессе
19,Project 19,2023-12-19,Завершен
20,Project 20,2023-11-15,Завершен
21,Project 21,2023-09-11,Завершен
22,Project 22,2023-04-16,Завершен
23,Project 23,2024-01-01,Завершен
24,Project 24,2023-10-22,В процессе
25,Project 25,2023-04-21,Завершен
26,Project 26,2023-01-25,В процессе
27,Project 27,2023-02-03,Завершен
28,Project 28,2023-04-05,Завершен
29,Project 29,2023-12-23,Завершен
30,Project 30,2023-12-06,Завершен
31,Project 31,2023-07-22,Завершен
32,Project 32,2023-09-15,Завершен
33,Project 33,2023-01-30,В процессе
34,Project 34,2023-02-22,В процессе
35,Project 35,2023-03-03,Завершен
36,Project 36,2023-04-28,В процессе
37,Project 37,2023-02-25,Завершен
38,Project 38,2023-05-21,Завершен
39,Project 39,2023-03-28,Завершен
40,Project 40,2023-11-01,Завершен
41,Project 41,2023-11-30,Завершен
42,Project 42,2023-05-08,Завершен
43,Project 43,2023-10-23,Завершен
44,Project 44,2023-07-11,Завершен
45,Project 45,2023-06-30,В процессе
46,Project 46,2023-10-01,Завершен
47,Project 47,2023-03-29,В процессе
48,Project 48,2023-12-23,Завершен
49,Project 49,2023-01-23,В процессе
50,Project 50,2023-10-26,В процессе
51,Project 51,2023-07-29,Завершен
52,Project 52,2023-03-20,В процессе
53,Project 53,2023-02-04,Завершен
54,Project 54,2023-12-21,В процессе
55,Project 55,2023-05-05,В процессе
56,Project 56,2023-07-06,В процессе
57,Project 57,2023-09-17,В процессе
58,Project 58,2023-05-18,Завершен
59,Project 59,2023-04-15,В процессе
60,Project 60,2023-02-22,Завершен
61,Project 61,2023-05-02,В процессе
62,Project 62,2023-07-13,В процессе
63,Project 63,2023-03-21,Завершен
64,Project 64,2023-03-31,Завершен
65,Project 65,2023-03-11,Завершен
66,Project 66,2023-07-10,Завершен
67,Project 67,2023-04-17,В процессе
68,Project 68,2023-04-29,Завершен
69,Project 69,2023-07-17,Завершен
70,Project 70,2023-10-06,Завершен
71,Project 71,2023-05-30,В процессе
72,Project 72,2023-04-08,Завершен
