ID,Название задачи,Статус,ID проекта
1,Task 1,Не начата,4922
2,Task 2,Завершена,9021
3,Task 3,Завершена,688
4,Task 4,В процессе,1823
5,Task 5,Не начата,456
6,Task 6,Завершена,4399
7,Task 7,В процессе,6891
8,Task 8,Завершена,6664
9,Task 9,Завершена,2632
10,Task 10,Завершена,683
11,Task 11,В процессе,4384
12,Task 12,Не начата,1008
13,Task 13,Не начата,6808
14,Task 14,В процессе,9330
15,Task 15,Завершена,7192
16,Task 16,Завершена,583
17,Task 17,Не начата,3857
18,Task 18,В процессе,190
19,Task 19,Завершена,9921
20,Task 20,В процессе,6182
21,Task 21,В процессе,6153
22,Task 22,Не начата,7905
23,Task 23,Не начата,4374
24,Task 24,В процессе,4099
25,Task 25,В процессе,8078
26,Task 26,Не начата,3990
27,Task 27,В процессе,2765
28,Task 28,Завершена,2114
29,Task 29,В процессе,7375
30,Task 30,В процессе,3112
31,Task 31,Не начата,8589
32,Task 32,Не начата,8179
33,Task 33,Завершена,9939
34,Task 34,Не начата,6604
35,Task 35,Не начата,7644
36,Task 36,Не начата,4442
37,Task 37,Завершена,7011
38,Task 38,В процессе,447
39,Task 39,Не начата,1347
40,Task 40,Завершена,9828
41,Task 41,Не начата,7110
42,Task 42,В процессе,4138
43,Task 43,Завершена,900
44,Task 44,В процессе,2724
45,Task 45,В процессе,927
46,Task 46,Завершена,8483
47,Task 47,В процессе,2178
48,Task 48,В процессе,8336
49,Task 49,В процессе,7551
50,Task 50,Завершена,8552
51,Task 51,Не начата,7939
52,Task 52,Завершена,5503
53,Task 53,В процессе,7315
54,Task 54,В процессе,9087
55,Task 55,В процессе,8124
56,Task 56,Не начата,3065
57,Task 57,Завершена,506
58,Task 58,Не начата,5773
59,Task 59,В процессе,5748
60,Task 60,Завершена,7639
61,Task 61,Завершена,3252
62,Task 62,Завершена,4677
63,Task 63,Завершена,6355
64,Task 64,В процессе,4989
65,Task 65,В процессе,6308
66,Task 66,Не начата,7766
67,Task 67,Не начата,2932
68,Task 68,Завершена,1373
69,Task 69,В процессе,38
70,Task 70,В процессе,6846
71,Task 71,Завершена,1384
72,Task 72,Не начата,4880
73,Task 73,В процессе,5181
74,Task 74,Завершена,8318
75,Task 75,В процессе,5857
76,Task 76,Не начата,8985
77,Task 77,Завершена,1368
78,Task 78,В процессе,1488
79,Task 79,Завершена,2490
80,Task 80,Не начата,5836
81,Task 81,Не начата,1125
82,Task 82,Завершена,4274
83,Task 83,Не начата,2601
84,Task 84,Завершена,8526
85,Task 85,В процессе,1171
86,Task 86,Завершена,9476
87,Task 87,Завершена,2729
88,Task 88,В процессе,740
89,Task 89,В процессе,2326
90,Task 90,Не начата,1118
91,Task 91,В процессе,9713
92,Task 92,Не начата,3691
93,Task 93,Не начата,6556
94,Task 94,Завершена,72
95,Task 95,В процессе,3027
96,Task 96,В процессе,698
97,Task 97,В процессе,3082
98,Task 98,Завершена,6848
99,Task 99,Не начата,362
100,Task 100,В процессе,2625
101,Task 101,Завершена,872
102,Task 102,В процессе,3650
103,Task 103,Завершена,587
104,Task 104,Не начата,4871
105,Task 105,Не начата,7416
106,Task 106,Завершена,6600
107,Task 107,Завершена,9445
108,Task 108,Завершена,6362
109,Task 109,В процессе,4829
110,Task 110,Не начата,2289
111,Task 111,Завершена,8047
112,Task 112,Завершена,6521
113,Task 113,Завершена,9010
114,Task 114,Не начата,7803
115,Task 115,В процессе,1098
116,Task 116,В процессе,8010
117,Task 117,В процессе,3622
118,Task 118,Завершена,3273
119,Task 119,Завершена,5204
120,Task 120,Завершена,2683
121,Task 121,В процессе,2841
122,Task 122,Завершена,238
123,Task 123,В процессе,9475
124,Task 124,В процессе,85
125,Task 125,В процессе,7545
126,Task 126,В процессе,4488
127,Task 127,Не начата,3112
128,Task 128,Не начата,4683
129,Task 129,В процессе,6226
130,Task 130,Не начата,7126
131,Task 131,Не начата,9991
132,Task 132,Завершена,3307
133,Task 133,В процессе,1567
134,Task 134,В процессе,9783
135,Task 135,Не начата,1275
136,Task 136,Не начата,2190
137,Task 137,Завершена,4233
138,Task 138,Не начата,2872
139,Task 139,Не начата,7199
140,Task 140,Завершена,4652
141,Task 141,В процессе,1623
142,Task 142,В процессе,6825
143,Task 143,В процессе,6196
144,Task 144,Завершена,3906
145,Task 145,В процессе,6818
146,Task 146,В процессе,3972
147,Task 147,Завершена,4123
148,Task 148,В процессе,3923
149,Task 149,Завершена,7667
150,Task 150,Не начата,1644
151,Task 151,Не начата,210
152,Task 152,Завершена,4486
153,Task 153,Завершена,6038
154,Task 154,Завершена,3506
155,Task 155,Не начата,7255
156,Task 156,Не начата,3009
157,Task 157,Не начата,347
158,Task 158,В процессе,3070
159,Task 159,Не начата,2289
160,Task 160,Завершена,9666
161,Task 161,Завершена,3537
162,Task 162,Завершена,9419
163,Task 163,В процессе,8063
164,Task 164,В процессе,2959
165,Task 165,Завершена,2166
166,Task 166,В процессе,5402
